DATETIME,X,Y,Z
115710797,0.55,-0.00,9.62
115710799,0.78,0.11,9.78
115710799,0.64,0.11,9.82
115710801,0.42,-0.03,9.76
115710801,0.59,-0.01,9.73
115710803,0.77,0.12,9.68
115710803,0.76,0.22,9.69
115710805,0.52,0.11,9.73
115710805,0.44,0.01,9.72
115710807,0.60,0.06,9.74
115710807,0.78,0.09,9.73
115710809,0.76,0.16,9.67
115710809,0.48,-0.02,9.68
115710812,0.72,0.03,9.65
115710812,0.84,0.17,9.66
115710814,0.67,0.12,9.64
115710814,0.46,-0.01,9.71
115710816,0.50,-0.06,9.71
115710816,0.74,0.03,9.68
115710818,0.79,0.08,9.70
115710818,0.63,0.09,9.64
115710820,0.45,-0.00,9.68
115710820,0.78,0.01,9.66
115710822,0.74,0.08,9.69
115710822,0.57,0.06,9.80
115710824,0.39,0.03,9.70
115710824,0.63,0.05,9.66
115710826,0.85,0.11,9.70
115710826,0.76,0.09,9.69
115710829,0.50,-0.00,9.71
115710829,0.55,-0.03,9.66
115710831,0.75,0.01,9.62
115710831,0.85,0.08,9.71
115710834,0.63,0.11,9.74
115710834,0.49,-0.01,9.70
115710836,0.74,0.07,9.67
115710836,0.71,0.11,9.61
115710837,0.53,0.06,9.63
115710838,0.46,-0.00,9.64
115710840,0.62,-0.02,9.68
115710840,0.82,0.03,9.65
115710841,0.75,0.08,9.75
115710841,0.52,0.07,9.72
115710844,0.47,-0.04,9.62
115710844,0.79,0.10,9.76
115710846,0.67,0.07,9.79
115710847,0.41,-0.02,9.79
115710847,0.47,-0.01,9.77
115710850,0.74,0.05,9.68
115710850,0.85,0.15,9.71
115710852,0.68,0.07,9.72
115710853,0.49,0.03,9.70
115710855,0.58,0.06,9.71
115710855,0.73,0.10,9.74
115710856,0.79,0.16,9.79
115710856,0.59,0.07,9.73
115710858,0.64,0.01,9.62
115710858,0.80,0.10,9.60
115710861,0.78,0.08,9.66
115710861,0.55,0.03,9.73
115710863,0.51,0.03,9.70
115710863,0.68,0.03,9.78
115710865,0.75,0.13,9.79
115710865,0.61,0.11,9.73
115710867,0.42,0.02,9.74
115710867,0.51,-0.01,9.67
115710869,0.75,0.07,9.68
115710869,0.58,0.10,9.64
115710871,0.49,0.02,9.68
115710871,0.59,-0.02,9.64
115710874,0.81,0.03,9.70
115710874,0.74,0.06,9.69
115710876,0.49,0.07,9.70
115710876,0.40,0.01,9.64
115710878,0.67,0.01,9.60
115710879,0.86,0.09,9.69
115710880,0.65,0.09,9.69
115710880,0.48,0.02,9.77
115710882,0.67,0.04,9.70
115710882,0.74,0.15,9.69
115710884,0.58,0.10,9.74
115710885,0.44,-0.01,9.69
115710886,0.63,-0.00,9.71
115710886,0.83,0.04,9.69
115710888,0.82,0.09,9.69
