DATETIME,X,Y,Z
154957915, -0.04,0.07,10.05
154957918, 0.29,-0.01,10.35
154957920, 0.48,-0.34,10.45
154957923, -0.15,-0.57,10.02
154957926, -0.39,-0.36,9.82
154957928, -0.44,-0.11,9.86
154957928, -0.26,0.06,10.03
154957932, 0.40,-0.15,10.45
154957935, 0.49,-0.39,10.48
154957937, 0.40,-0.57,10.46
154957940, 0.06,-0.69,10.26
154957940, -0.22,-0.56,10.06
154957943, -0.10,0.05,10.00
154957946, 0.25,0.02,10.24
154957948, 0.47,-0.22,10.37
154957951, 0.48,-0.45,10.43
154957954, -0.07,-0.68,10.16
154957954, -0.27,-0.48,9.90
154957957, -0.42,-0.26,9.90
154957960, -0.27,0.08,9.91
154957962, -0.01,0.10,10.14
154957965, 0.47,-0.30,10.42
154957965, 0.17,-0.68,10.22
154957968, -0.13,-0.54,10.08
154957970, -0.42,-0.36,9.91
154957973, -0.24,0.03,10.03
154957976, 0.06,0.06,10.21
154957976, 0.38,-0.12,10.36
154957979, 0.54,-0.40,10.43
154957981, 0.38,-0.56,10.35
154957984, -0.24,-0.52,10.03
154957988, -0.27,-0.01,9.95
154957990, -0.06,0.10,10.07
154957990, 0.26,0.02,10.33
154957993, 0.48,-0.49,10.38
154957995, 0.33,-0.67,10.30
154957998, -0.00,-0.64,10.08
154958001, -0.29,-0.46,9.97
154958001, -0.39,-0.18,9.92
154958004, 0.00,0.07,10.18
154958006, 0.34,-0.04,10.25
154958009, 0.38,-0.59,10.36
154958012, 0.15,-0.64,10.29
154958012, -0.42,-0.35,9.91
154958015, -0.42,-0.04,9.90
154958018, -0.17,0.06,10.05
154958020, 0.14,0.05,10.15
154958023, 0.43,-0.15,10.36
154958023, 0.50,-0.41,10.47
154958026, 0.08,-0.70,10.21
154958028, -0.23,-0.54,9.98
154958032, -0.34,0.02,9.99
154958035, -0.06,0.02,10.08
154958037, 0.48,-0.24,10.47
154958037, 0.49,-0.48,10.42
154958040, 0.25,-0.64,10.31
154958042, -0.09,-0.62,10.08
154958045, -0.33,-0.40,9.96
154958048, -0.27,0.04,9.96
154958048, 0.00,0.08,10.15
154958051, 0.44,-0.33,10.47
154958053, 0.33,-0.52,10.41
154958056, -0.16,-0.56,9.99
154958059, -0.35,-0.35,9.93
154958059, -0.40,-0.05,9.89
154958062, -0.19,0.10,9.97
154958064, 0.07,0.09,10.16
154958067, 0.45,-0.41,10.41
154958071, 0.38,-0.64,10.41
154958071, 0.04,-0.67,10.22
154958074, -0.41,-0.26,9.88
154958076, -0.07,0.07,10.01
154958079, 0.33,-0.01,10.37
154958082, 0.51,-0.23,10.49
154958082, 0.45,-0.46,10.43
154958085, 0.19,-0.65,10.36
154958087, -0.33,-0.39,10.00
154958089, -0.42,-0.18,9.88
154958092, -0.24,0.01,9.99
154958095, -0.01,0.03,10.20
154958095, 0.36,-0.57,10.29
154958099, 0.14,-0.66,10.17
154958101, -0.12,-0.53,9.95
154958104, -0.32,-0.37,9.84
154958107, -0.35,-0.10,9.94
154958107, 0.20,0.00,10.24
154958110, 0.44,-0.20,10.45
154958112, 0.44,-0.41,10.52
154958115, 0.30,-0.62,10.40
154958118, -0.40,-0.20,9.79
154958119, -0.19,0.05,9.94
154958121, 0.02,0.12,10.09
154958124, 0.31,-0.03,10.32
154958126, 0.50,-0.30,10.45
154958129, 0.23,-0.66,10.27
154958129, -0.11,-0.61,10.10
154958131, -0.34,-0.45,9.89
154958135, -0.45,-0.23,9.89
154958137, -0.28,0.05,9.98
154958140, 0.47,-0.40,10.42
154958143, 0.31,-0.61,10.30
154958143, 0.11,-0.67,10.18
154958146, -0.17,-0.56,9.96
154958148, -0.38,0.02,9.93
154958151, -0.16,0.11,9.99
154958151, 0.16,0.02,10.19
154958154, 0.38,-0.23,10.35
154958157, 0.46,-0.42,10.49
154958160, 0.03,-0.70,10.23
154958162, -0.42,-0.16,9.88
154958165, -0.30,0.09,9.98
154958165, 0.01,0.11,10.16
154958168, 0.52,-0.32,10.44
154958170, 0.51,-0.55,10.40
154958173, 0.21,-0.70,10.22
154958175, -0.12,-0.66,10.05
154958176, -0.35,-0.41,9.89
154958178, -0.46,-0.11,9.91
154958181, 0.03,0.07,10.10
154958184, 0.47,-0.48,10.37
154958187, 0.38,-0.62,10.31
154958187, 0.07,-0.70,10.16
154958190, -0.45,-0.31,9.91
154958192, -0.34,-0.07,9.89
